Table 1
Data Dictionary - Column Information,,,,
Column Name,Column Description,"Term, Acronym, or Code Definitions","Additional Notes 
(where applicable, include the  range of possible values, units of measure, how to interpret null/zero values, whether there are specific relationships between columns, and information on column source)",
Urgent Care/Clinic/Other Outpatient - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Hotel - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Hotel - Gym/fitness  Center Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
K-12 School - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Pre-school/Daycare - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Laboratory - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Mailing Center/Post Office - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Movie Theater - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Manufacturing/Industrial Plant - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Multifamily Housing - Government Subsidized Housing,"Government Subsidized Housing is entered as either Yes or No.
Yes – The property receives some type of local, state, or federal affordable housing subsidy for some or all units. Examples include Federal Housing Association (FHA) Insured; Public Housing; Agricultural Housing; Veterans Affairs (VA) Housing; Department of Defense (DoD) Housing; Low Income Housing Tax Credit (LIHTC); Project Based Housing Assistance Payment (HAP) (including Section 8), or another type of local, state or federal subsidy.
No – The property does not receive any subsidies.",,,
Multifamily Housing - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Multifamily Housing - Number of Bedrooms,"The Number of Bedrooms should reflect the total number of bedrooms located in each individual apartment unit at the property.

For example, if you have 100 apartments broken out as follows, your Number of Bedrooms would be 175:

25 are 3 bedrooms (25 * 3 = 75)
25 are 2 bedrooms (25 * 2 = 50)
25 are 1 bedroom   (25 * 1 = 25)
25 are studios        (25 * 1 = 25)
Note:

Efficiency and studio apartments count as one (1) bedroom.
A junior one bedroom (a unit with a separate space for sleeping and usually separated by a half wall or temporary wall) count as one (1) bedroom.
Don't include in-unit common areas (ex: living rooms) being used as bedrooms by tenants.
Count what you have today, including any additions/modifications to the original unit(s).",,,
"Multifamily Housing - Number of Bedrooms Density (Number per 1,000 sq ft)","Number of bedrooms per 1,000 sq ft",,,
Multifamily Housing - Number of Laundry Hookups in All Units,"The Number of Laundry Hookups in All Units is a count of all laundry hookups located in individual apartment units. You should include all hookups that are available, even if the machine is inoperable or absent. For the purposes of counting hookups, each machine (individual washer, individual dryer, or combination/stacked unit) should be counted as one hookup.",,,
Multifamily Housing - Number of Laundry Hookups in Common Area(s),"The Number of Laundry Hookups in Common Areas is a count of all laundry hookups located in common areas, which may be either pay-per-use or free machines. You should include all hookups that are available, even if the machine is inoperable or absent. For the purposes of counting hookups, each machine (individual washer, individual dryer, or combination/stacked unit) should be counted as one hookup.",,,
Multifamily Housing - Number of Residential Living Units in a High-Rise Building (10 or more Stories),The count of all individual private apartments/ condominiums (both occupied and unoccupied) located in an individual building that is 10 or more stories in height.,,,
Multifamily Housing - Total Number of Residential Living Units,"The Total Number of Residential Living Units is a count of all individual residential living units or apartments, including both occupied and unoccupied units.

In addition, please note these specific property type considerations:
Multifamily Housing – The Total Number of Residential Living Units should count all individual private apartments/condominiums. There are three additional Property Use Details, which break this total into three different categories, according to building height. If your property has only one building, or if all buildings are of the same height, then you should enter “zero” for the other two categories. Portfolio Manager requires that the sum of these three values equal your Total Number of Residential Living Units:
Number of Residential Living Units in a Low-rise (1-4 stories) – This includes all units located in an individual building that is 1 to 4 stories in height.
Number of Residential Living Units in a Mid-rise (5-9 stories) –This includes all units located in an individual building that is 5 to 9 stories in height.
Number of Residential Living Units in a High-rise (10 or more stories) – This includes all units located in an individual building that is 10 or more stories in height.
Senior Living Communities - For communities where residents have individual rooms that open onto central corridors, each room is considered a single unit, even if there are two or more beds per room. For communities with apartment-type living units each apartment is considered a single unit. Do not count individual rooms within apartments or townhouses.",,,
"Multifamily Housing - Total Number of Residential Living Units Density (Number per 1,000 sq ft)","Number of residential living units per 1,000 sq ft",,,
"Multifamily Housing - Number of Residential Living Units in a High-Rise Building Density (Number per 1,000 sq ft)",The count of all individual private apartments/ condominiums (both occupied and unoccupied) located in an individual building that is 10 or more stories in height.,,,
Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building (5-9 Stories),The count of all individual private apartments/ condominiums (both occupied and unoccupied) located in an individual building that is 5 to 9 stories in height,,,
"Multifamily Housing - Number of Residential Living Units in a Mid-Rise Building Density (Number per 1,000 sq ft)","Number of residential living units in a mid-rise building per 1,000 sq ft",,,
Multifamily Housing - Percent That Can Be Cooled,Percent That Can Be Cooled is the total percentage of your property that can be cooled by mechanical equipment. This includes all types of cooling from central air to individual window units. You enter this percent rounded to the nearest tenth. Use rounding when necessary.,,,
Multifamily Housing - Percent That Can Be Heated,Percent That Can Be Heated is the total percentage of your property that can be heated by mechanical equipment.,,,
Multifamily Housing - Resident Population Type,"The Resident Population Type describes the specific resident population, if any, to which the multifamily housing property is marketed and/or dedicated. Select the type of housing that applies to the majority (more than 50%) of the residents.

The following options are available:
No specific resident population: The property is not inhabited by any dedicated population.
Dedicated Student: Privately owned, off-campus housing -- not affiliated with a college or university -- that is primarily occupied by undergraduate or graduate students.
Dedicated Military: Off-base housing primarily occupied by persons serving in or employed by the military.
Dedicated Senior/Independent Living: Housing that is restricted to the elderly that also provides limited programs of assistance with domestic activities (meals, housekeeping, activities, transportation, etc.). Typically, a unit in an Independent Living Community resembles a standard market unit, though the community may offer amenities or communal dining facilities not typical in multifamily apartment buildings.

Independent Living Communities generally are not licensed and generally do not provide assistance with Activities of Daily Living (ADLs) or healthcare, such as the management of medications and assistance with bathing, dressing, toileting, ambulating, eating and other similar activities.
Dedicated Special Accessibility Needs: Residents living in the property are covered by the American Disabilities Act.
Other Dedicated housing (please specify): - Use this selection to indicate another type of dedicated resident population.
Please note that Portfolio Manager contains separate property use designations for Senior Living Communities, Residence Halls/Dormitories, and Barracks. Please refer to the definitions for these property uses to benchmark a property that is used for nursing/assisted living or as ",,,
Residence Hall/Dormitory - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Non-Refrigerated Warehouse - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Office - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
Office - Number of Computers,"The Number of Computers is the total number of desktop computers, laptops, Chromebooks/netbooks, and data servers at the property. This number should not include tablet computers, such as iPads, or any other types of office equipment.

If your property is in the design phase, use your best estimate for the intended conditions when the property is fully operational.

In addition, please note these specific property type considerations:
K-12 School – The count should only reflect computers that are owned by and charged at the school. It should not include any computers that are brought onsite by students or staff, or any computers regularly brought home by students.
Senior Living Community – The count should reflect computers used in administrative areas, computers in common areas available for residents and visitors, and wall-mounted computers in resident units for medical purposes. This count should not include any computers owned by residents that may be present in individual apartments or rooms. This is a count of computers only and should not include other electronic or medical equipment.",,,
Office - Number of Workers on Main Shift,"The Number of Workers on Main Shift should reflect the total number of workers present during the primary shift. This is not a total count of workers, but rather a count of workers who are present at the same time. For example, if there are two daily eight hour shifts of 100 workers each, the Number of Workers on Main Shift value is 100. Number of Workers on Main Shift may include employees of the property, sub-contractors who are onsite regularly, and volunteers who perform regular onsite tasks. Number of Workers should not include visitors to the buildings such as clients, customers, or patients.",,,
Office - Percent That Can Be Cooled,Percent That Can Be Cooled is the total percentage of your property that can be cooled by mechanical equipment. This includes all types of cooling from central air to individual window units. You enter this percent rounded to the nearest tenth. Use rounding when necessary.,,,
Office - Percent That Can Be Heated,Percent That Can Be Heated is the total percentage of your property that can be heated by mechanical equipment.,,,
Office - Weekly Operating Hours,"The Weekly Operating Hours is different depending on your property type:
Office, Financial Office, Warehouse and Distribution Center. Your Weekly Operating Hours are the total number of hours per week where the majority of workers are present. For example, if the majority of workers are in your building from 8:00 am - 6:00 pm M-F, then your Weekly operating hours should be 50 (10 hrs * 5 days per week).
If you have two or more tenants with hours that differ by more than 10%, then you should enter two separate Property Uses so that you can track them separately.
If you have two or more tenants with hours that differ by less than 10%, use the largest tenant’s hours (based on Gross Floor Area).
If your hours vary seasonally (ex: 1/2 day Fridays in the summer), use the schedule that is followed most often.
If you have 2 shifts of workers, add the hours for both shifts.
Do NOT count these hours:
When the property is occupied only by maintenance, security, the cleaning crew, or other support personnel.
HVAC startup or shutdown time
Properties that serve the Public (retail stores, medical office, bank branch, courthouse, library, health club, etc). Your Weekly Operating Hours should be the hours that you are open to the public.
Worship Facility. Your Weekly Operating Hours should reflect hours when the facility is typically open for operation, which may include worship services, choir practice, administrative use, committee meetings, classes, or other activities.",,,
"Office - Worker Density (Number per 1,000 sq ft)","Office Workers per 1,000 sq ft",,,
Other - Gross Floor Area (ft²),"The Gross Floor Area (GFA) is the total “property” square footage, and a “property” can be a:
Single building
Campus of buildings
Part of a building (such as a single tenant space).
Depending on which above type you have, your exact GFA is determined differently:
“Single buildings” and “campuses of buildings” measure the GFA between the outside surface of the exterior walls of the building(s). This includes all areas inside the building(s) including supporting areas. GFA is not the same as rentable space, but rather includes all area inside the building(s).
Include in GFA: lobbies, tenant areas, common areas, meeting rooms, break rooms, atriums (count the base level only), restrooms, elevator shafts, stairwells, mechanical equipment areas, basements, storage rooms.
Do not include in GFA: exterior spaces, balconies, patios, exterior loading docks, driveways, covered walkways, outdoor play courts (tennis, basketball, etc.), parking (How to enter parking?), the interstitial plenum space between floors (which house pipes and ventilation), crawl spaces.
Although you do not include these areas in your GFA, you do include their energy use. Our algorithms assume buildings have outdoor usage, too. The GFA refers specifically to interior space. But, the energy use evaluated should be all the energy required to operate your building, which includes the energy used both inside and out.
You may exclude the GFA of certain Property Uses, if they meet these 4 criteria (see this FAQ for details):
The Property Use is less than 10% of the building’s GFA
The Property Use is not a property type eligible to receive an ENERGY STAR score
The Property Use is sub-metered so that both the Property Use’s energy consumption and GFA can be excluded
The Property Use’s energy use patterns are significantly different than those of the rest of the building (ex: A cell phone tower on a building)
“Parts of a building,” such as tenant spaces, measure the GFA of the “usable square feet.” Usable square feet include the specific area the tenant occupies to do business. Learn more about how to benchmark a tenant space.",,,
